XP,YP,ZP,PID
762949.39697266,9252007.32507324,3710,570
762949.44665527,9252177.67077637,3681.62750244,571
762949.55700684,9251985.87463379,3720,572
762949.59924316,9252312.80102539,3740,573
762949.67138672,9252258.00598145,3710,574
762949.74206543,9252085.18408203,3680,575
762949.7980957,9252121.55566406,3680,576
762950.14367676,9252172.32769775,3680.97467041,577
762950.21374512,9252082.21398926,3680,578
762950.34130859,9252282.87762451,3710,579
762950.5,9252211.76031494,3685.20239258,580
762950.56860352,9251958.11297607,3740,581
762950.8692627,9251953.82403564,3750.006,582
762951.0123291,9252166.64440918,3680.26647949,583
762951.18505859,9252124.22607422,3680,584
762951.21459961,9251963.84814453,3730,585
762951.21557617,9252319.57537842,3750.006,586
762951.3302002,9252290.00738525,3720,587
762951.37280273,9252164.49462891,3680,588
762951.43347168,9252228.40179443,3690,589
762951.60339355,9252125.04046631,3680,590
762951.62780762,9252008.82525635,3700,591
762951.70031738,9251987.5098877,3710,592
762951.71777344,9252311.16027832,3730,593
762951.8536377,9252256.44824219,3700,594
762951.9074707,9252077.48742676,3680,595
762951.9395752,9251959.25128174,3740,596
762951.97021484,9252125.75463867,3680,597
762952.25683594,9252296.40258789,3730,598
762952.31970215,9252126.43518066,3680,599
762952.35241699,9251976.47973633,3730,600
762952.37451172,9252058.70794678,3680,601
762952.59985352,9252037.02502441,3690,602
762952.6736602,9252127.12413263,3679.99817916,603
762952.67785645,9252127.16998291,3680,604
762952.68652344,9252127.14916992,3680,605
762952.73071289,9252081.88433838,3676.52880859,606
762952.92211914,9252218.29937744,3685.94805908,607
762953.32666016,9252244.36309814,3690,608
762953.55578613,9252317.84057617,3740,609
762953.62182617,9252288.61700439,3710,610
762953.66296387,9252027.24127197,3700,611
762953.73120117,9251974.80969238,3730,612
762953.84106445,9251961.13946533,3730,613
762953.87133789,9252048.96044922,3690,614
762954.13574219,9252072.53051758,3680,615
762954.47631836,9252294.90008545,3720,616
762954.70166016,9252000.67773438,3710,617
762954.84472656,9251948.63598633,3750.006,618
762954.88598633,9251956.35412598,3740,619
762955.02880859,9252264.97485352,3710,620
762955.41564941,9252164.73510742,3680,621
762955.4934082,9252300.94824219,3730,622
762955.58911133,9251952.56762695,3740,623
762955.67102051,9252316.19567871,3730,624
762955.69421387,9251972.56268311,3730,625
762955.71789551,9252236.89953613,3690,626
762955.87805176,9252225.70483398,3686.89916992,627
762955.88085938,9252023.00457764,3700,628
762955.9621582,9251979.1619873,3720,629
762956.13269043,9251979.22515869,3720,630
762956.16625977,9252326.03930664,3750.006,631
762956.42027903,9251978.87684645,3720,632
