PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
3046,3103,3102,304,1,1,1
3046,10,3103,305,1,1,1
10,3104,3103,306,1,1,1
10,3047,3104,307,1,1,1
3047,28,3104,308,1,1,1
28,3047,11,309,1,1,1
11,3105,28,310,1,1,1
11,12,3105,311,1,1,1
3106,3105,12,312,1,1,1
3106,12,3048,313,1,1,1
29,3106,3048,314,1,1,1
29,3107,3106,315,1,1,1
29,3049,3107,316,1,1,1
29,3048,3049,317,1,1,1
3049,3108,3107,318,1,1,1
3049,3050,3108,319,1,1,1
3050,3109,3108,320,1,1,1
3050,3051,3109,321,1,1,1
30,3109,3051,322,1,1,1
30,3110,3109,323,1,1,1
30,3052,3110,324,1,1,1
30,3051,3052,325,1,1,1
3052,61,3110,326,1,1,1
3052,31,61,327,1,1,1
2942,61,31,328,1,1,1
2942,32,61,329,1,1,1
2946,62,3111,330,1,1,1
2946,3053,62,331,1,1,1
3054,63,3112,332,1,1,1
3054,2949,63,333,1,1,1
3055,63,2949,334,1,1,1
3056,63,3055,335,1,1,1
3056,64,3169,336,1,1,1
3056,33,64,337,1,1,1
34,64,33,338,1,1,1
34,3057,35,339,1,1,1
35,3058,3113,340,1,1,1
35,3057,3058,341,1,1,1
36,3113,3058,342,1,1,1
36,3114,3113,343,1,1,1
36,3059,3114,344,1,1,1
36,3058,3059,345,1,1,1
37,3114,3059,346,1,1,1
37,3115,3114,347,1,1,1
37,3060,3115,348,1,1,1
37,3059,3060,349,1,1,1
38,3115,3060,350,1,1,1
38,3116,3115,351,1,1,1
3061,3116,38,352,1,1,1
3061,3117,3116,353,1,1,1
3062,3117,3061,354,1,1,1
3062,3118,3117,355,1,1,1
3118,3063,3119,356,1,1,1
3118,3062,3063,357,1,1,1
3063,3120,3119,358,1,1,1
3063,3064,3120,359,1,1,1
3064,3065,3120,360,1,1,1
3065,3066,3121,361,1,1,1
3066,3067,3177,362,1,1,1
3068,3177,3067,363,1,1,1
3068,3069,3177,364,1,1,1
3071,110,3070,365,1,1,1
3071,69,110,366,1,1,1
3072,69,3071,367,1,1,1
3072,3179,69,368,1,1,1
3072,3122,3179,369,1,1,1
3073,2982,3124,370,1,1,1
2982,3125,3124,371,1,1,1
2982,2983,3125,372,1,1,1
3125,2983,3074,373,1,1,1
3126,3125,3074,374,1,1,1
3074,3075,3126,375,1,1,1
3075,3127,3126,376,1,1,1
3075,39,3127,377,1,1,1
39,3076,3181,378,1,1,1
3076,3128,3181,379,1,1,1
3076,70,3128,380,1,1,1
3076,40,70,381,1,1,1
3001,3129,17,382,1,1,1
3130,3129,3077,383,1,1,1
3077,3131,3130,384,1,1,1
3077,3078,3131,385,1,1,1
3078,3132,3131,386,1,1,1
3079,3134,3133,387,1,1,1
3079,3080,3134,388,1,1,1
3080,74,3134,389,1,1,1
74,3080,75,390,1,1,1
3080,3135,75,391,1,1,1
3080,3081,3135,392,1,1,1
3082,3135,3081,393,1,1,1
3082,3136,3135,394,1,1,1
3137,3136,3082,395,1,1,1
3137,3082,41,396,1,1,1
41,3138,3137,397,1,1,1
42,3138,41,398,1,1,1
42,3139,3138,399,1,1,1
42,3083,3139,400,1,1,1
42,41,3083,401,1,1,1
43,3139,3083,402,1,1,1
43,3140,3139,403,1,1,1
43,3084,3140,404,1,1,1
43,3083,3084,405,1,1,1
44,3140,3084,406,1,1,1
44,3141,3140,407,1,1,1
44,3085,3141,408,1,1,1
44,3084,3085,409,1,1,1
45,3141,3085,410,1,1,1
45,3142,3141,411,1,1,1
45,3086,3142,412,1,1,1
45,3085,3086,413,1,1,1
46,3142,3086,414,1,1,1
46,3143,3142,415,1,1,1
46,3087,3143,416,1,1,1
46,3086,3087,417,1,1,1
47,3143,3087,418,1,1,1
47,3144,3143,419,1,1,1
47,3088,3144,420,1,1,1
47,3087,3088,421,1,1,1
48,3144,3088,422,1,1,1
48,3145,3144,423,1,1,1
48,3089,3145,424,1,1,1
48,3088,3089,425,1,1,1
3090,3145,3089,426,1,1,1
3090,3146,3145,427,1,1,1
3091,3146,3090,428,1,1,1
3091,3147,3146,429,1,1,1
3092,3147,3091,430,1,1,1
3092,3148,3147,431,1,1,1
3093,3148,3092,432,1,1,1
3093,49,3148,433,1,1,1
49,3094,3149,434,1,1,1
49,3093,3094,435,1,1,1
50,3149,3094,436,1,1,1
50,3150,3149,437,1,1,1
23,87,3150,438,1,1,1
23,3151,87,439,1,1,1
3151,3152,3206,440,1,1,1
3151,3037,3152,441,1,1,1
3037,3153,3152,442,1,1,1
3153,3037,24,443,1,1,1
24,3208,3153,444,1,1,1
3095,3208,24,445,1,1,1
3095,3154,3208,446,1,1,1
3096,3154,3095,447,1,1,1
3096,3095,25,448,1,1,1
51,3096,26,449,1,1,1
3097,51,26,450,1,1,1
3097,52,51,451,1,1,1
52,3098,3155,452,1,1,1
52,3097,3098,453,1,1,1
53,3155,3098,454,1,1,1
53,3156,3155,455,1,1,1
53,3099,3156,456,1,1,1
53,3098,3099,457,1,1,1
54,3156,3099,458,1,1,1
54,3157,3156,459,1,1,1
54,3100,3157,460,1,1,1
54,3099,3100,461,1,1,1
55,3157,3100,462,1,1,1
55,93,3157,463,1,1,1
55,3101,93,464,1,1,1
55,3100,3101,465,1,1,1
3158,93,3101,466,1,1,1
3158,3101,3102,467,1,1,1
3102,3159,3158,468,1,1,1
3102,3103,3159,469,1,1,1
3103,3160,3159,470,1,1,1
3103,3104,3160,471,1,1,1
3160,3104,28,472,1,1,1
56,3105,3161,473,1,1,1
